,6 Hz_x,6 Hz_y,8 Hz_x,8 Hz_y,10 Hz_x,10 Hz_y,12 Hz_x,12 Hz_y,16 Hz_x,16 Hz_y
0,-2.94,0.0,-2.94,0.0,-2.94,0.0,-2.94,0.0,-2.94,0.0
1,-2.93,0.0,-2.93,0.0,-2.93,0.0,-2.93,0.0,-2.93,0.0
2,-2.92,0.0,-2.92,0.0,-2.92,0.0,-2.92,0.0,-2.92,0.0
3,-2.91,0.0,-2.91,0.0,-2.91,0.0,-2.91,0.0,-2.91,0.0
4,-2.9,0.0,-2.9,0.0,-2.9,0.0,-2.9,0.0,-2.9,0.0
5,-2.89,0.0,-2.89,0.0,-2.89,0.0,-2.89,0.0,-2.89,0.0
6,-2.88,0.0,-2.88,0.0,-2.88,0.0,-2.88,0.0,-2.88,0.0
7,-2.87,0.0,-2.87,0.0,-2.87,0.0,-2.87,0.0,-2.87,0.0
8,-2.86,0.0,-2.86,0.0,-2.86,0.0,-2.86,0.0,-2.86,0.0
9,-2.85,0.0,-2.85,0.0,-2.85,0.0,-2.85,0.0,-2.85,0.0
10,-2.84,0.0,-2.84,0.0,-2.84,0.0,-2.84,0.0,-2.84,0.0
11,-2.83,0.0,-2.83,0.0,-2.83,0.0,-2.83,0.0,-2.83,0.0
12,-2.82,0.0,-2.82,0.0,-2.82,0.0,-2.82,0.0,-2.82,0.0
13,-2.81,0.0,-2.81,0.0,-2.81,0.0,-2.81,0.0,-2.81,0.0
14,-2.8,0.0,-2.8,0.0,-2.8,0.0,-2.8,0.0,-2.8,0.0
15,-2.79,0.0,-2.79,0.0,-2.79,0.0,-2.79,0.0,-2.79,0.0
16,-2.78,0.0,-2.78,0.0,-2.78,0.0,-2.78,0.0,-2.78,0.0
17,-2.77,0.0,-2.77,0.0,-2.77,0.0,-2.77,0.0,-2.77,0.0
18,-2.76,0.0,-2.76,0.0,-2.76,0.0,-2.76,0.0,-2.76,0.0
19,-2.75,0.0,-2.75,0.0,-2.75,0.0,-2.75,0.0,-2.75,0.0
20,-2.7399999999999998,0.0,-2.7399999999999998,0.0,-2.7399999999999998,0.0,-2.7399999999999998,0.0,-2.7399999999999998,0.0
21,-2.73,0.0,-2.73,0.0,-2.73,0.0,-2.73,0.0,-2.73,0.0
22,-2.7199999999999998,0.0,-2.7199999999999998,0.0,-2.7199999999999998,0.0,-2.7199999999999998,0.0,-2.7199999999999998,0.0
23,-2.71,0.0,-2.71,0.0,-2.71,0.0,-2.71,0.0,-2.71,0.0
24,-2.7,0.0,-2.7,0.0,-2.7,0.0,-2.7,0.0,-2.7,0.0
25,-2.69,0.0,-2.69,0.0,-2.69,0.0,-2.69,0.0,-2.69,0.0
26,-2.6799999999999997,0.0,-2.6799999999999997,0.0,-2.6799999999999997,0.0,-2.6799999999999997,0.0,-2.6799999999999997,0.0
27,-2.67,0.0,-2.67,0.0,-2.67,0.0,-2.67,0.0,-2.67,0.0
28,-2.66,0.0,-2.66,0.0,-2.66,0.0,-2.66,0.0,-2.66,0.0
29,-2.65,0.0,-2.65,0.0,-2.65,0.0,-2.65,0.0,-2.65,0.0
30,-2.64,0.0,-2.64,0.0,-2.64,0.0,-2.64,0.0,-2.64,0.0
31,-2.63,0.0,-2.63,0.0,-2.63,0.0,-2.63,0.0,-2.63,0.0
32,-2.62,0.0,-2.62,0.0,-2.62,0.0,-2.62,0.0,-2.62,0.0
33,-2.61,0.0,-2.61,0.0,-2.61,0.0,-2.61,0.0,-2.61,0.0
34,-2.6,0.0,-2.6,0.0,-2.6,0.0,-2.6,0.0,-2.6,0.0
35,-2.59,0.0,-2.59,0.0,-2.59,0.0,-2.59,0.0,-2.59,0.0
