,_control_x,_control_y,_itensity_x,_itensity_y,_duration_x,_duration_y
0,1.0,0.7,2.0,-0.06,2.0,0.38
1,1.0,0.72,2.0,-0.15,2.0,0.89
2,1.0,0.81,2.0,0.04,2.0,0.73
3,1.0,1.1,2.0,-0.1,2.0,0.99
4,1.0,1.14,2.0,-0.14,2.0,0.76
5,1.0,1.1,2.0,-0.11,2.0,1.27
6,1.0,0.77,2.0,-0.18,2.0,0.51
7,1.0,1.02,2.0,-0.12,2.0,0.62
8,1.0,0.8,2.0,-0.21,2.0,0.65
9,1.0,0.83,2.0,-0.22,2.0,1.0
10,1.0,0.92,2.0,-0.03,2.0,0.7
11,1.0,0.82,2.0,-0.17,2.0,0.74
12,1.0,0.81,2.0,-0.13,2.0,0.65
13,1.0,1.13,2.0,-0.18,2.0,1.57
14,1.0,0.96,2.0,-0.26,2.0,0.37
15,1.0,0.71,2.0,-0.16,2.0,0.82
16,1.0,0.92,2.0,-0.1,2.0,0.65
17,1.0,0.78,2.0,0.02,2.0,0.62
18,1.0,0.96,2.0,-0.12,2.0,0.55
19,1.0,0.82,2.0,-0.26,2.0,0.33
