,_full model_x,_full model_y,"_no glycinergic
amacrine cell_x","_no glycinergic
amacrine cell_y"
0,-2.964,0.0,-2.964,0.0
1,-2.962,0.0,-2.962,0.0
2,-2.96,0.0,-2.96,0.0
3,-2.958,0.0,-2.958,0.0
4,-2.956,0.0,-2.956,0.0
5,-2.954,0.0,-2.954,0.0
6,-2.952,0.0,-2.952,0.0
7,-2.95,0.0,-2.95,0.0
8,-2.948,0.0,-2.948,0.0
9,-2.946,0.0,-2.946,0.0
10,-2.944,0.0,-2.944,0.0
11,-2.942,0.0,-2.942,0.0
12,-2.94,0.0,-2.94,0.0
13,-2.938,0.0,-2.938,0.0
14,-2.936,0.0,-2.936,0.0
15,-2.934,0.0,-2.934,0.0
16,-2.932,0.0,-2.932,0.0
17,-2.93,0.0,-2.93,0.0
18,-2.928,0.0,-2.928,0.0
19,-2.926,0.0,-2.926,0.0
20,-2.924,0.0,-2.924,0.0
21,-2.922,0.0,-2.922,0.0
22,-2.92,0.0,-2.92,0.0
23,-2.918,0.0,-2.918,0.0
24,-2.916,0.0,-2.916,0.0
25,-2.914,0.0,-2.914,0.0
26,-2.912,0.0,-2.912,0.0
27,-2.91,0.0,-2.91,0.0
28,-2.908,0.0,-2.908,0.0
29,-2.906,0.0,-2.906,0.0
30,-2.904,0.0,-2.904,0.0
31,-2.902,0.0,-2.902,0.0
32,-2.9,0.0,-2.9,0.0
33,-2.898,0.0,-2.898,0.0
34,-2.896,0.0,-2.896,0.0
35,-2.894,0.0,-2.894,0.0
36,-2.892,0.0,-2.892,0.0
37,-2.89,0.0,-2.89,0.0
38,-2.888,0.0,-2.888,0.0
39,-2.886,0.0,-2.886,0.0
40,-2.884,0.0,-2.884,0.0
41,-2.882,0.0,-2.882,0.0
42,-2.88,0.0,-2.88,0.0
43,-2.878,0.0,-2.878,0.0
44,-2.876,0.0,-2.876,0.0
45,-2.874,0.0,-2.874,0.0
46,-2.872,0.0,-2.872,0.0
47,-2.87,0.0,-2.87,0.0
48,-2.868,0.0,-2.868,0.0
49,-2.866,0.0,-2.866,0.0
50,-2.864,0.0,-2.864,0.0
51,-2.862,0.0,-2.862,0.0
52,-2.86,0.0,-2.86,0.0
53,-2.858,0.0,-2.858,0.0
54,-2.856,0.0,-2.856,0.0
55,-2.854,0.0,-2.854,0.0
56,-2.852,0.0,-2.852,0.0
57,-2.85,0.0,-2.85,0.0
58,-2.848,0.0,-2.848,0.0
59,-2.846,0.0,-2.846,0.0
60,-2.844,0.0,-2.844,0.0
61,-2.842,0.0,-2.842,0.0
62,-2.84,0.0,-2.84,0.0
63,-2.838,0.0,-2.838,0.0
64,-2.836,0.0,-2.836,0.0
65,-2.834,0.0,-2.834,0.0
66,-2.832,0.0,-2.832,0.0
67,-2.83,0.0,-2.83,0.0
68,-2.828,0.0,-2.828,0.0
69,-2.826,0.0,-2.826,0.0
70,-2.824,0.0,-2.824,0.0
71,-2.822,0.0,-2.822,0.0
72,-2.82,0.0,-2.82,0.0
73,-2.818,0.0,-2.818,0.0
74,-2.816,0.0,-2.816,0.0
75,-2.814,0.0,-2.814,0.0
76,-2.812,0.0,-2.812,0.0
77,-2.81,0.0,-2.81,0.0
78,-2.808,0.0,-2.808,0.0
79,-2.806,0.0,-2.806,0.0
80,-2.804,0.0,-2.804,0.0
81,-2.802,0.0,-2.802,0.0
82,-2.8,0.0,-2.8,0.0
83,-2.798,0.0,-2.798,0.0
84,-2.796,0.0,-2.796,0.0
85,-2.794,0.0,-2.794,0.0
86,-2.792,0.0,-2.792,0.0
87,-2.79,0.0,-2.79,0.0
88,-2.788,0.0,-2.788,0.0
89,-2.786,0.0,-2.786,0.0
90,-2.784,0.0,-2.784,0.0
91,-2.782,0.0,-2.782,0.0
92,-2.78,0.0,-2.78,0.0
93,-2.778,0.0,-2.778,0.0
94,-2.776,0.0,-2.776,0.0
95,-2.774,0.0,-2.774,0.0
96,-2.772,0.0,-2.772,0.0
97,-2.77,0.0,-2.77,0.0
98,-2.768,0.0,-2.768,0.0
99,-2.766,0.0,-2.766,0.0
100,-2.764,0.0,-2.764,0.0
101,-2.762,0.0,-2.762,0.0
102,-2.76,0.0,-2.76,0.0
103,-2.758,0.0,-2.758,0.0
104,-2.756,0.0,-2.756,0.0
105,-2.754,0.0,-2.754,0.0
106,-2.752,0.0,-2.752,0.0
107,-2.75,0.0,-2.75,0.0
108,-2.7479999999999998,0.0,-2.7479999999999998,0.0
109,-2.746,0.0,-2.746,0.0
110,-2.7439999999999998,0.0,-2.7439999999999998,0.0
111,-2.742,0.0,-2.742,0.0
112,-2.7399999999999998,0.0,-2.7399999999999998,0.0
113,-2.738,0.0,-2.738,0.0
114,-2.7359999999999998,0.0,-2.7359999999999998,0.0
115,-2.734,0.0,-2.734,0.0
116,-2.7319999999999998,0.0,-2.7319999999999998,0.0
117,-2.73,0.0,-2.73,0.0
118,-2.7279999999999998,0.0,-2.7279999999999998,0.0
119,-2.726,0.0,-2.726,0.0
120,-2.724,0.0,-2.724,0.0
121,-2.722,0.0,-2.722,0.0
122,-2.7199999999999998,0.0,-2.7199999999999998,0.0
123,-2.718,0.0,-2.718,0.0
124,-2.716,0.0,-2.716,0.0
125,-2.714,0.0,-2.714,0.0
126,-2.7119999999999997,0.0,-2.7119999999999997,0.0
127,-2.71,0.0,-2.71,0.0
128,-2.708,0.0,-2.708,0.0
129,-2.706,0.0,-2.706,0.0
130,-2.7039999999999997,0.0,-2.7039999999999997,0.0
131,-2.702,0.0,-2.702,0.0
132,-2.7,0.0,-2.7,0.0
133,-2.698,0.0,-2.698,0.0
134,-2.6959999999999997,0.0,-2.6959999999999997,0.0
135,-2.694,0.0,-2.694,0.0
136,-2.692,0.0,-2.692,0.0
137,-2.69,0.0,-2.69,0.0
138,-2.6879999999999997,0.0,-2.6879999999999997,0.0
139,-2.686,0.0,-2.686,0.0
140,-2.684,0.0,-2.684,0.0
141,-2.682,0.0,-2.682,0.0
142,-2.6799999999999997,0.0,-2.6799999999999997,0.0
143,-2.678,0.0,-2.678,0.0
144,-2.676,0.0,-2.676,0.0
145,-2.674,0.0,-2.674,0.0
146,-2.672,0.0,-2.672,0.0
147,-2.67,0.0,-2.67,0.0
148,-2.668,0.0,-2.668,0.0
149,-2.666,0.0,-2.666,0.0
150,-2.664,0.0,-2.664,0.0
151,-2.662,0.0,-2.662,0.0
152,-2.66,0.0,-2.66,0.0
153,-2.658,0.0,-2.658,0.0
154,-2.656,0.0,-2.656,0.0
155,-2.654,0.0,-2.654,0.0
156,-2.652,0.0,-2.652,0.0
157,-2.65,0.0,-2.65,0.0
158,-2.648,0.0,-2.648,0.0
159,-2.646,0.0,-2.646,0.0
160,-2.644,0.0,-2.644,0.0
161,-2.642,0.0,-2.642,0.0
162,-2.64,0.0,-2.64,0.0
163,-2.638,0.0,-2.638,0.0
164,-2.636,0.0,-2.636,0.0
165,-2.634,0.0,-2.634,0.0
166,-2.632,0.0,-2.632,0.0
167,-2.63,0.0,-2.63,0.0
168,-2.628,0.0,-2.628,0.0
169,-2.626,0.0,-2.626,0.0
170,-2.624,0.0,-2.624,0.0
171,-2.622,0.0,-2.622,0.0
172,-2.62,0.0,-2.62,0.0
173,-2.618,0.0,-2.618,0.0
174,-2.616,0.0,-2.616,0.0
175,-2.614,0.0,-2.614,0.0
176,-2.612,0.0,-2.612,0.0
177,-2.61,0.0,-2.61,0.0
178,-2.608,0.0,-2.608,0.0
179,-2.606,0.0,-2.606,0.0
180,-2.604,0.0,-2.604,0.0
181,-2.602,0.0,-2.602,0.0
182,-2.6,0.0,-2.6,0.0
183,-2.598,0.0,-2.598,0.0
184,-2.596,0.0,-2.596,0.0
185,-2.594,0.0,-2.594,0.0
186,-2.592,0.0,-2.592,0.0
187,-2.59,0.0,-2.59,0.0
188,-2.588,0.0,-2.588,0.0
189,-2.586,0.0,-2.586,0.0
190,-2.584,0.0,-2.584,0.0
191,-2.582,0.0,-2.582,0.0
192,-2.58,0.0,-2.58,0.0
193,-2.578,0.0,-2.578,0.0
194,-2.576,0.0,-2.576,0.0
195,-2.574,0.0,-2.574,0.0
