,"ON and
OFF inputs_x","ON and
OFF inputs_y","ON input
only_x","ON input
only_y"
0,-3.866,0.0,-3.866,0.0
1,-3.8640000000000003,-6.375764042385156e-05,-3.8640000000000003,-9.843292714405458e-06
2,-3.862,-0.00025128081335229556,-3.862,-3.86699616515578e-05
3,-3.8600000000000003,-0.0005571290352600872,-3.8600000000000003,-8.546619032182549e-05
4,-3.858,-0.0009760408550393004,-3.858,-0.0001492566664047553
5,-3.8560000000000003,-0.0015029135731852827,-3.8560000000000003,-0.00022909964903807963
6,-3.854,-0.0021328032417966547,-3.854,-0.0003240869688177163
7,-3.8520000000000003,-0.00286092466457531,-3.8520000000000003,-0.0004333440277977689
8,-3.85,-0.003682651396826419,-3.85,-0.0005560297994905264
9,-3.8480000000000003,-0.004593467460541807,-3.8480000000000003,-0.000691322733511286
10,-3.846,-0.005588788980151808,-3.846,-0.0008383674768007253
11,-3.8440000000000003,-0.0066645670283453085,-3.8440000000000003,-0.0009964513120773412
12,-3.842,-0.0078169323988845,-3.842,-0.0011649035642903995
13,-3.8400000000000003,-0.009042114078333401,-3.8400000000000003,-0.0013430720351466745
14,-3.838,-0.01033643924605785,-3.838,-0.0015303230031104486
15,-3.8360000000000003,-0.01169633327422552,-3.8360000000000003,-0.001726041223403512
16,-3.834,-0.013118319727805913,-3.834,-0.001929629928005164
17,-3.8320000000000003,-0.014599020364570352,-3.8320000000000003,-0.0021405108256522106
18,-3.83,-0.016135155135091988,-3.83,-0.0023581241018389666
19,-3.8280000000000003,-0.017723542182745793,-3.8280000000000003,-0.002581928418817255
20,-3.826,-0.019361097843708576,-3.826,-0.0028114009155964063
21,-3.8240000000000003,-0.02104483664695897,-3.8240000000000003,-0.0030460372079432595
22,-3.822,-0.022771871314277423,-3.822,-0.003285351388382162
23,-3.8200000000000003,-0.024539412760246238,-3.8200000000000003,-0.00352887602619497
24,-3.818,-0.026344770092249517,-3.818,-0.0037761621674210454
25,-3.8160000000000003,-0.02818535061047319,-3.8160000000000003,-0.004026779334857261
26,-3.814,-0.030058570689579137,-3.814,-0.004280315528057994
27,-3.8120000000000003,-0.03196157142963189,-3.8120000000000003,-0.0045363623643769795
28,-3.81,-0.03389227690455143,-3.81,-0.004794497167416409
29,-3.8080000000000003,-0.035848782869086174,-3.8080000000000003,-0.005054424200001864
30,-3.806,-0.03782922595299846,-3.806,-0.0053158696347479365
31,-3.8040000000000003,-0.03983178366106464,-3.8040000000000003,-0.005578566556753714
32,-3.802,-0.04185467437307504,-3.802,-0.0058422549636027755
33,-3.8000000000000003,-0.0438961573438339,-3.8000000000000003,-0.006106681765363197
34,-3.798,-0.045954532703159495,-3.798,-0.006371600784587548
35,-3.7960000000000003,-0.04802814145588404,-3.7960000000000003,-0.006636772756312893
36,-3.794,-0.05011536548185372,-3.794,-0.006901965328060792
37,-3.7920000000000003,-0.052214627535928676,-3.7920000000000003,-0.007166953059837296
38,-3.79,-0.054324391247983085,-3.79,-0.0074315174241329565
39,-3.7880000000000003,-0.056443161122905004,-3.7880000000000003,-0.007695446805922817
40,-3.786,-0.05856948254059652,-3.786,-0.007958536502666412
41,-3.7840000000000003,-0.060701941755973675,-3.7840000000000003,-0.008220588724307774
42,-3.782,-0.06283916589896646,-3.782,-0.008481412593275433
43,-3.7800000000000002,-0.0649798229745189,-3.7800000000000002,-0.008740824144482408
44,-3.778,-0.06712262186258888,-3.778,-0.008998646325326213
45,-3.7760000000000002,-0.06926631231814838,-3.7760000000000002,-0.009254708995688862
46,-3.774,-0.07140968497118327,-3.774,-0.009508848927936858
47,-3.7720000000000002,-0.07355157132669342,-3.7720000000000002,-0.009760909806921203
48,-3.77,-0.07569084376469265,-3.77,-0.01001074222997739
49,-3.7680000000000002,-0.07782641554020875,-3.7680000000000002,-0.010258203706925411
50,-3.766,-0.07995724078328353,-3.766,-0.01050315680423701
51,-3.7640000000000002,-0.08208215914973704,-3.7640000000000002,-0.01074544295064492
52,-3.762,-0.08420009315535729,-3.762,-0.010984993570697942
53,-3.7600000000000002,-0.08631054290499945,-3.7600000000000002,-0.01122177346295879
54,-3.758,-0.0884130336129153,-3.758,-0.011455748018254977
55,-3.7560000000000002,-0.09050709747141644,-3.7560000000000002,-0.011686883219678814
56,-3.754,-0.09259227365087432,-3.754,-0.011915145642587404
57,-3.7520000000000002,-0.09466810829972022,-3.7520000000000002,-0.012140502454602652
58,-3.75,-0.09673415454444535,-3.75,-0.012362921415611256
59,-3.748,-0.09878997248960072,-3.748,-0.012582370877764716
60,-3.746,-0.10083512921779722,-3.746,-0.012798819785479323
61,-3.744,-0.1028691987897056,-3.744,-0.013012237675436168
62,-3.742,-0.10489176224405646,-3.742,-0.013222594676581143
63,-3.74,-0.10690240759764025,-3.74,-0.01342986151012493
64,-3.738,-0.10890072984530727,-3.738,-0.01363400948954301
65,-3.736,-0.11088633095996774,-3.736,-0.01383501052057566
66,-3.734,-0.11285881989259164,-3.734,-0.014032837101227961
67,-3.732,-0.1148178125722089,-3.732,-0.014227462321769782
68,-3.73,-0.11676293190590925,-3.73,-0.014418859864735793
69,-3.728,-0.11869380777884228,-3.728,-0.014607004004925463
70,-3.726,-0.1206100770542175,-3.726,-0.014791869609403051
71,-3.724,-0.12251138357330418,-3.724,-0.014973432137497626
72,-3.722,-0.1243973781554315,-3.722,-0.015151667640803036
73,-3.72,-0.1262677185979885,-3.72,-0.01532655276317794
74,-3.718,-0.12812206967642412,-3.718,-0.01549806474074579
75,-3.716,-0.12996010314424705,-3.716,-0.015666181401894835
76,-3.714,-0.13178149773302594,-3.714,-0.01583088116727812
77,-3.712,-0.1335859391523892,-3.712,-0.015992143049813484
78,-3.71,-0.13537312009002522,-3.71,-0.01614994665468357
79,-3.708,-0.13714274021168216,-3.708,-0.016304272179335815
80,-3.706,-0.13889450616116805,-3.706,-0.016455103499698757
81,-3.704,-0.14062813156035076,-3.704,-0.016602474152526605
82,-3.702,-0.1423433370091581,-3.702,-0.016746441845186085
83,-3.7,-0.14403985341424394,-3.7,-0.016887060821149723
84,-3.698,-0.14571758642048763,-3.698,-0.01702438396413717
85,-3.696,-0.1473766818623133,-3.696,-0.0171584627981152
86,-3.694,-0.14901729883381523,-3.694,-0.017289347487297727
87,-3.692,-0.15063959149073325,-3.692,-0.01741708683614577
88,-3.69,-0.1522437090504528,-3.69,-0.017541728289367488
89,-3.688,-0.1538297957920051,-3.688,-0.017663317931918172
90,-3.686,-0.1553979910560668,-3.686,-0.017781900489000222
91,-3.684,-0.15694842924496033,-3.684,-0.01789751932606318
92,-3.682,-0.15848123982265372,-3.682,-0.01801021644880371
93,-3.68,-0.15999654731476062,-3.68,-0.018120032503165594
94,-3.678,-0.1614944713085403,-3.678,-0.01822700677533975
95,-3.676,-0.16297512645289766,-3.676,-0.01833117719176422
96,-3.674,-0.1644386224583833,-3.674,-0.018432580319124172
97,-3.672,-0.16588506409719336,-3.672,-0.0185312513643519
98,-3.67,-0.16731455120316968,-3.67,-0.018627224174626825
99,-3.668,-0.1687271786717997,-3.668,-0.018720531237375493
100,-3.666,-0.1701230364602165,-3.666,-0.018811203680271577
101,-3.664,-0.17150220958719883,-3.664,-0.01889927127123588
102,-3.662,-0.17286477813317097,-3.662,-0.018984762418436323
103,-3.66,-0.174210817240203,-3.66,-0.019067704170287962
104,-3.658,-0.17554039711201042,-3.658,-0.019148122215452975
105,-3.656,-0.17685358301395454,-3.656,-0.019226040882840665
106,-3.654,-0.17815043527304225,-3.654,-0.019301483141607467
107,-3.652,-0.17943100927792605,-3.652,-0.019374470601156938
108,-3.65,-0.1806953554789041,-3.65,-0.01944502351113976
109,-3.648,-0.18194351938792017,-3.648,-0.01951316076145375
110,-3.646,-0.18317554157856367,-3.646,-0.019578899882243837
111,-3.644,-0.18439145768606963,-3.644,-0.01964225704390209
112,-3.642,-0.18559129840731875,-3.642,-0.019703247057067698
113,-3.64,-0.18677508950083732,-3.64,-0.019761883372626972
114,-3.638,-0.18794285178679732,-3.638,-0.019818178081713364
115,-3.636,-0.18909460114701632,-3.636,-0.019872141915707436
116,-3.634,-0.19023034852495752,-3.634,-0.019923784246236885
117,-3.632,-0.19135009992572974,-3.632,-0.019973127152884174
118,-3.63,-0.19245385641608753,-3.63,-0.020020282511231818
119,-3.628,-0.1935416141244309,-3.628,-0.02006531765773103
120,-3.6260000000000003,-0.19461336424080566,-3.6260000000000003,-0.02010828592943766
121,-3.624,-0.1956690930169032,-3.624,-0.020149239497223487
122,-3.622,-0.1967087817660605,-3.622,-0.020188229365776213
123,-3.62,-0.19773240686326016,-3.62,-0.020225305373599452
124,-3.6180000000000003,-0.19873999856365174,-3.6180000000000003,-0.02026051619301275
125,-3.616,-0.19973210789560975,-3.616,-0.02029390933015157
126,-3.614,-0.20070908450025668,-3.614,-0.020325531124967305
127,-3.612,-0.20167118190041858,-3.612,-0.020355426751227257
128,-3.6100000000000003,-0.20261864842420008,-3.6100000000000003,-0.020383640216514665
129,-3.608,-0.2035517272049845,-3.608,-0.02041021436222868
130,-3.606,-0.20447065618143379,-3.606,-0.020435190863584383
131,-3.604,-0.20537566809748853,-3.604,-0.020458610229612772
132,-3.6020000000000003,-0.20626699050236796,-3.6020000000000003,-0.02048051180316077
