,dynamic_x,dynamic_y,fixed_x,fixed_y
0,-2.722,0.0,-2.722,0.0
1,-2.72,-6.375764042385156e-05,-2.72,-6.375766452949372e-05
2,-2.718,-0.00025128081335229556,-2.718,-0.0002512811847549974
3,-2.716,-0.0005571290352600872,-2.716,-0.0005571312093140431
4,-2.714,-0.0009760408550393004,-2.714,-0.0009760479269316944
5,-2.712,-0.0015029135731852827,-2.712,-0.0015029306662419425
6,-2.71,-0.0021328032417966547,-2.71,-0.0021328378957877025
7,-2.708,-0.00286092466457531,-2.708,-0.0028609872240208164
8,-2.706,-0.003682651396826419,-2.706,-0.00368275539930205
9,-2.704,-0.004593467460541807,-2.704,-0.0045936298529845754
10,-2.702,-0.005588788980151808,-2.702,-0.005589029570334952
11,-2.7,-0.0066645670283453085,-2.7,-0.006664909863204156
12,-2.698,-0.0078169323988845,-2.698,-0.00781740595567486
13,-2.696,-0.009042114078333401,-2.696,-0.009042751177128376
14,-2.694,-0.01033643924605785,-2.694,-0.010337276962244641
15,-2.692,-0.01169633327422552,-2.692,-0.011697412851002238
16,-2.69,-0.013118319727805913,-2.69,-0.01311968648867839
17,-2.688,-0.014599020364570352,-2.688,-0.014600723625848938
18,-2.686,-0.016135155135091988,-2.686,-0.016137248118388375
19,-2.684,-0.017723542182745793,-2.684,-0.017726081927469817
20,-2.682,-0.019361097843708576,-2.682,-0.019364145119565034
21,-2.68,-0.02104483664695897,-2.68,-0.02104845586644441
22,-2.678,-0.022771871314277423,-2.678,-0.022776130445176963
23,-2.676,-0.024539412760246238,-2.676,-0.024544383238130386
24,-2.674,-0.026344770092249517,-2.674,-0.026350526732970954
25,-2.672,-0.02818535061047319,-2.672,-0.028191971522663617
26,-2.67,-0.030058570689579137,-2.67,-0.03006613953010836
27,-2.668,-0.03196157142963189,-2.668,-0.03197017270669837
28,-2.666,-0.03389227690455143,-2.666,-0.033901994803921455
29,-2.664,-0.035848782869086174,-2.664,-0.03585970472069423
30,-2.662,-0.03782922595299846,-2.662,-0.0378414420359295
31,-2.66,-0.03983178366106464,-2.66,-0.0398453870085363
32,-2.658,-0.04185467437307504,-2.658,-0.041869760577419826
33,-2.656,-0.0438961573438339,-2.656,-0.043912824361481514
34,-2.654,-0.045954532703159495,-2.654,-0.04597288065961896
35,-2.652,-0.04802814145588404,-2.652,-0.04804827245072597
36,-2.65,-0.05011536548185372,-2.65,-0.05013738339369257
37,-2.648,-0.052214627535928676,-2.648,-0.05223863782740494
38,-2.646,-0.054324391247983085,-2.646,-0.05435050077074552
39,-2.644,-0.056443161122905004,-2.644,-0.0564714779225929
40,-2.642,-0.05856948254059652,-2.642,-0.05860011566182188
41,-2.64,-0.060701941755973675,-2.64,-0.06073500104730346
42,-2.638,-0.06283916589896646,-2.638,-0.06287476181790484
43,-2.636,-0.0649798229745189,-2.636,-0.06501806639248944
44,-2.634,-0.06712262186258888,-2.634,-0.06716362386991681
45,-2.632,-0.06926631231814838,-2.632,-0.06931018402904277
46,-2.63,-0.07140968497118327,-2.63,-0.07145653732871934
47,-2.628,-0.07355157132669342,-2.628,-0.0736015149077947
48,-2.626,-0.07569084376469265,-2.626,-0.07574398858511319
49,-2.624,-0.07782641554020875,-2.624,-0.07788287085951548
50,-2.622,-0.07995724078328353,-2.622,-0.0800171149098383
51,-2.62,-0.08208215914973704,-2.62,-0.08214556726223765
52,-2.618,-0.08420009315535729,-2.618,-0.08426713723961039
53,-2.616,-0.08631054290499945,-2.616,-0.08638132116009954
54,-2.614,-0.0884130336129153,-2.614,-0.08848764388849668
55,-2.612,-0.09050709747141644,-2.612,-0.09058563719696383
56,-2.61,-0.09259227365087432,-2.61,-0.09267483976503342
57,-2.608,-0.09466810829972022,-2.608,-0.09475479717960833
58,-2.606,-0.09673415454444535,-2.606,-0.09682506193496192
59,-2.604,-0.09878997248960072,-2.604,-0.09888519343273797
60,-2.602,-0.10083512921779722,-2.602,-0.10093475798195069
61,-2.6,-0.1028691987897056,-2.6,-0.10297332879898478
62,-2.598,-0.10489176224405646,-2.598,-0.10500048600759537
63,-2.596,-0.10690240759764025,-2.596,-0.107015816638908
64,-2.594,-0.10890072984530727,-2.594,-0.10901891463141869
65,-2.592,-0.11088633095996774,-2.592,-0.1110093808309939
66,-2.59,-0.11285881989259164,-2.59,-0.11298682299087054
67,-2.588,-0.1148178125722089,-2.588,-0.11495085577165595
68,-2.586,-0.11676293190590925,-2.586,-0.11690110074132792
69,-2.584,-0.11869380777884228,-2.584,-0.1188371863752347
70,-2.582,-0.1206100770542175,-2.582,-0.12075874805609497
71,-2.58,-0.12251138357330418,-2.58,-0.12266542807399786
72,-2.578,-0.1243973781554315,-2.578,-0.12455687562640294
73,-2.576,-0.1262677185979885,-2.576,-0.12643274681814023
74,-2.574,-0.12812206967642412,-2.574,-0.1282927046614102
75,-2.572,-0.12996010314424705,-2.572,-0.1301364190757838
76,-2.57,-0.13178149773302594,-2.57,-0.13196356688820235
77,-2.568,-0.1335859391523892,-2.568,-0.13377383183297764
78,-2.566,-0.13537312009002522,-2.566,-0.135566904551792
79,-2.564,-0.13714274021168216,-2.564,-0.137342482593698
80,-2.562,-0.13889450616116805,-2.562,-0.13910027041511885
81,-2.56,-0.14062813156035076,-2.56,-0.14083997937984813
82,-2.558,-0.1423433370091581,-2.558,-0.14256132775904987
83,-2.556,-0.14403985341424394,-2.556,-0.14426404307910254
84,-2.554,-0.14571758642048763,-2.554,-0.14594801705590657
85,-2.552,-0.1473766818623133,-2.552,-0.1476133907906159
86,-2.55,-0.14901729883381523,-2.55,-0.14926032208929454
87,-2.548,-0.15063959149073325,-2.548,-0.15088896382658906
88,-2.546,-0.1522437090504528,-2.546,-0.1524994639457284
89,-2.544,-0.1538297957920051,-2.544,-0.154091965458524
90,-2.542,-0.1553979910560668,-2.542,-0.15566660644536973
91,-2.54,-0.15694842924496033,-2.54,-0.15722352005524184
92,-2.538,-0.15848123982265372,-2.538,-0.15876283450569917
93,-2.536,-0.15999654731476062,-2.536,-0.16028467308288283
94,-2.534,-0.1614944713085403,-2.534,-0.16178915414151657
95,-2.532,-0.16297512645289766,-2.532,-0.1632763911049064
96,-2.53,-0.1644386224583833,-2.53,-0.1647464924649409
97,-2.528,-0.16588506409719336,-2.528,-0.1661995617820911
98,-2.526,-0.16731455120316968,-2.526,-0.16763569768541042
99,-2.524,-0.1687271786717997,-2.524,-0.16905499387253475
